	Title	Movie Url	Year	Certificate	Genre	Runtime	Metascore	Rating	Description	Director	Stars	Votes	Gross	Movie Poster
521	Rambo: First Blood Part II	https://www.imdb.com/title/tt0089880/	1985	PG	['Action', ' Adventure', ' Thriller']	96.0	47.0	6.5	Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.	George P. Cosmatos	['Sylvester Stallone', 'Richard Crenna', 'Charles Napier', 'Steven Berkoff']	174046.0	150420000.0	https://m.media-amazon.com/images/M/MV5BZWFkY2I1ZDAtNmZhNS00NjVlLWJiMGQtMGQ1ZmM0ZDA5ODg5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
522	Over the Top	https://www.imdb.com/title/tt0093692/	1987	PG	['Action', ' Drama', ' Sport']	93.0	40.0	5.8	Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.	Menahem Golan	['Sylvester Stallone', 'Robert Loggia', 'Susan Blakely', 'Rick Zumwalt']	56416.0	16059999.999999998	https://m.media-amazon.com/images/M/MV5BZjFiZjYyOGUtNWQ4My00ZTcyLWJkYTMtOGMzZjZjOTE0MDE0XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg
523	Cyborg	https://www.imdb.com/title/tt0097138/	1989	PG	['Action', ' Sci-Fi', ' Thriller']	86.0	24.0	5.0	A martial artist hunts a killer in a plague-infested urban dump of the future.	Albert Pyun	['Jean-Claude Van Damme', 'Deborah Richter', 'Vincent Klyn', 'Alex Daniels']	32488.0	10170000.0	https://m.media-amazon.com/images/M/MV5BMDk0MmYyMWMtOWVhNS00ZTM4LWI0NGEtMTMxYWFjYjVhNWVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
524	Always	https://www.imdb.com/title/tt0096794/	1989	PG	['Drama', ' Fantasy', ' Romance']	122.0	50.0	6.4	The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.	Steven Spielberg	['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson', 'John Goodman']	31503.0	43860000.0	https://m.media-amazon.com/images/M/MV5BYjcwODQ0YmItZGUwNC00MDYxLWIyZmItMzQ5YTJlNzZlNzE0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UY209_CR0,0,140,209_AL_.jpg
525	Twilight Zone: The Movie	https://www.imdb.com/title/tt0086491/	1983	PG	['Horror', ' Sci-Fi']	101.0	44.0	6.4	Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.	Joe Dante	['John Landis', 'George Miller', 'Steven Spielberg', 'Dan Aykroyd', 'Albert Brooks', 'Vic Morrow', 'Doug McGrath']	39195.0	29500000.0	https://m.media-amazon.com/images/M/MV5BYjQ2NzgzYjEtMzAxNy00MzhkLWE5ZTUtZDA1ODY3MTBjOTRiXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_UX140_CR0,0,140,209_AL_.jpg
526	Rain Man	https://www.imdb.com/title/tt0095953/	1988	NC16	['Drama']	133.0	65.0	8.0	After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.	Barry Levinson	['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino', 'Gerald R. Molen']	523932.0	178800000.0	https://m.media-amazon.com/images/M/MV5BMzVjNzI4NzYtMjE4NS00M2IzLWFkOWMtOTYwMWUzN2ZlNGVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
527	Hook	https://www.imdb.com/title/tt0102057/	1991	PG	['Adventure', ' Comedy', ' Family']	142.0	52.0	6.8	When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.	Steven Spielberg	['Dustin Hoffman', 'Robin Williams', 'Julia Roberts', 'Bob Hoskins']	260996.0	119650000.0	https://m.media-amazon.com/images/M/MV5BNmJjNTQzMjctMmE2NS00ZmYxLWE1NjYtYmRmNjNiMzljOTc3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg
528	Nineteen Eighty-Four	https://www.imdb.com/title/tt0087803/	1984	M18	['Drama', ' Sci-Fi']	113.0	67.0	7.1	In a totalitarian future society, a man, whose daily work is re-writing history, tries to rebel by falling in love.	Michael Radford	['John Hurt', 'Richard Burton', 'Suzanna Hamilton', 'Cyril Cusack']	74389.0	8400000.0	https://m.media-amazon.com/images/M/MV5BMWFkNzIzNDUtNWI1Mi00ODA2LTgyMTMtYTZiYWMxMDFlNmNhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg
529	Cape Fear	https://www.imdb.com/title/tt0101540/	1991	PG	['Crime', ' Thriller']	128.0	73.0	7.3	A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.	Martin Scorsese	['Robert De Niro', 'Nick Nolte', 'Jessica Lange', 'Juliette Lewis']	202239.0	79100000.0	https://m.media-amazon.com/images/M/MV5BNjdhNzZlYzYtYTBlNS00NTJiLWI2ZWUtMDI2YzI2MzM5NjY4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
530	Indiana Jones and the Temple of Doom	https://www.imdb.com/title/tt0087469/	1984	PG	['Action', ' Adventure']	118.0	57.0	7.5	In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.	Steven Spielberg	['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan', 'Amrish Puri']	500155.0	179870000.0	https://m.media-amazon.com/images/M/MV5BYzgzMTIzNzctNmNiZC00ZDYyLWJjNzktMmQ2MDM2ZDkwZGVhXkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg
531	Coming to America	https://www.imdb.com/title/tt0094898/	1988	NC16	['Comedy', ' Romance']	117.0	47.0	7.1	An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will.	John Landis	['Eddie Murphy', 'Paul Bates', 'Garcelle Beauvais', 'Feather']	213499.0	128150000.0	https://m.media-amazon.com/images/M/MV5BNGZlNjdlZmMtYTg0MC00MmZkLWIyNDktYmNlOWYzMTkzYWQ1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg
532	Awakenings	https://www.imdb.com/title/tt0099077/	1990	PG	['Biography', ' Drama']	121.0	74.0	7.8	The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.	Penny Marshall	['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson']	147356.0	52100000.0	https://m.media-amazon.com/images/M/MV5BMWUxOTk2NzUtZDBjYi00MzIwLWFlODYtZjFmNDM5MjlkYjJjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg
533	Mad Max Beyond Thunderdome	https://www.imdb.com/title/tt0089530/	1985	PG	['Action', ' Adventure', ' Sci-Fi']	107.0	71.0	6.2	After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen.	George Miller	['George Ogilvie', 'Mel Gibson', 'Tina Turner', 'Bruce Spence', 'Adam Cockburn']	140437.0	36200000.0	https://m.media-amazon.com/images/M/MV5BMmI4YWEyNTItZTFiMS00YzY4LWE2ZjYtNGRlNmZhNjRmOWVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
534	Akira	https://www.imdb.com/title/tt0094625/	1988	R	['Animation', ' Action', ' Drama']	124.0	67.0	8.0	A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.	Katsuhiro Ôtomo	['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda']	191908.0	550000.0	https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_UY209_CR0,0,140,209_AL_.jpg
535	The Fly	https://www.imdb.com/title/tt0091064/	1986	M18	['Drama', ' Horror', ' Sci-Fi']	96.0	79.0	7.6	A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.	David Cronenberg	['Jeff Goldblum', 'Geena Davis', 'John Getz', 'Joy Boushel']	189231.0	40460000.0	https://m.media-amazon.com/images/M/MV5BODcxMGMwOGEtMDUxMi00MzE5LTg4YTYtYjk1YjA4MzQxNTNlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
